CIDADE,UF,REGIAO
São Francisco de Assis do Piauí,PI,Nordeste
São Francisco do Piauí,PI,Nordeste
São Gonçalo do Gurguéia,PI,Nordeste
São Gonçalo do Piauí,PI,Nordeste
São João da Canabrava,PI,Nordeste
São João da Fronteira,PI,Nordeste
São João da Serra,PI,Nordeste
São João da Varjota,PI,Nordeste
São João do Arraial,PI,Nordeste
São João do Piauí,PI,Nordeste
São José do Divino,PI,Nordeste
São José do Peixe,PI,Nordeste
São José do Piauí,PI,Nordeste
São Julião,PI,Nordeste
São Lourenço do Piauí,PI,Nordeste
São Luis do Piauí,PI,Nordeste
São Miguel da Baixa Grande,PI,Nordeste
São Miguel do Fidalgo,PI,Nordeste
São Miguel do Tapuio,PI,Nordeste
São Pedro do Piauí,PI,Nordeste
São Raimundo Nonato,PI,Nordeste
Sebastião Barros,PI,Nordeste
Sebastião Leal,PI,Nordeste
Sigefredo Pacheco,PI,Nordeste
Simões,PI,Nordeste
Simplício Mendes,PI,Nordeste
Socorro do Piauí,PI,Nordeste
Sussuapara,PI,Nordeste
Tamboril do Piauí,PI,Nordeste
Tanque do Piauí,PI,Nordeste
Teresina,PI,Nordeste
União,PI,Nordeste
Uruçuí,PI,Nordeste
Valença do Piauí,PI,Nordeste
Várzea Branca,PI,Nordeste
Várzea Grande,PI,Nordeste
Vera Mendes,PI,Nordeste
Vila Nova do Piauí,PI,Nordeste
Wall Ferraz,PI,Nordeste
Abaiara,CE,Nordeste
Acarape,CE,Nordeste
Acaraú,CE,Nordeste
Acopiara,CE,Nordeste
Aiuaba,CE,Nordeste
Alcântaras,CE,Nordeste
Altaneira,CE,Nordeste
Alto Santo,CE,Nordeste
Amontada,CE,Nordeste
Antonina do Norte,CE,Nordeste
Apuiarés,CE,Nordeste
Aquiraz,CE,Nordeste
Aracati,CE,Nordeste
Aracoiaba,CE,Nordeste
Ararendá,CE,Nordeste
Araripe,CE,Nordeste
Aratuba,CE,Nordeste
Arneiroz,CE,Nordeste
Assaré,CE,Nordeste
Aurora,CE,Nordeste
Baixio,CE,Nordeste
Banabuiú,CE,Nordeste
Barbalha,CE,Nordeste
Barreira,CE,Nordeste
Barro,CE,Nordeste
Barroquinha,CE,Nordeste
Baturité,CE,Nordeste
Beberibe,CE,Nordeste
Bela Cruz,CE,Nordeste
Boa Viagem,CE,Nordeste
Brejo Santo,CE,Nordeste
Camocim,CE,Nordeste
Campos Sales,CE,Nordeste
Canindé,CE,Nordeste
Capistrano,CE,Nordeste
Caridade,CE,Nordeste
Cariré,CE,Nordeste
Caririaçu,CE,Nordeste
Cariús,CE,Nordeste
Carnaubal,CE,Nordeste
Cascavel,CE,Nordeste
Catarina,CE,Nordeste
Catunda,CE,Nordeste
Caucaia,CE,Nordeste
Cedro,CE,Nordeste
Chaval,CE,Nordeste
Choró,CE,Nordeste
Chorozinho,CE,Nordeste
Coreaú,CE,Nordeste
Crateús,CE,Nordeste
Crato,CE,Nordeste
Croatá,CE,Nordeste
Cruz,CE,Nordeste
Deputado Irapuan Pinheiro,CE,Nordeste
Ereré,CE,Nordeste
Eusébio,CE,Nordeste
Farias Brito,CE,Nordeste
Forquilha,CE,Nordeste
Fortaleza,CE,Nordeste
Fortim,CE,Nordeste
Frecheirinha,CE,Nordeste
General Sampaio,CE,Nordeste
Graça,CE,Nordeste
Granja,CE,Nordeste
Granjeiro,CE,Nordeste
Groaíras,CE,Nordeste
Guaiúba,CE,Nordeste
Guaraciaba do Norte,CE,Nordeste
Guaramiranga,CE,Nordeste
Hidrolândia,CE,Nordeste
Horizonte,CE,Nordeste
Ibaretama,CE,Nordeste
Ibiapina,CE,Nordeste
Ibicuitinga,CE,Nordeste
Icapuí,CE,Nordeste
Icó,CE,Nordeste
Iguatu,CE,Nordeste
Independência,CE,Nordeste
Ipaporanga,CE,Nordeste
Ipaumirim,CE,Nordeste
Ipu,CE,Nordeste
Ipueiras,CE,Nordeste
Iracema,CE,Nordeste
Irauçuba,CE,Nordeste
Itaiçaba,CE,Nordeste
Itaitinga,CE,Nordeste
Itapajé,CE,Nordeste
Itapipoca,CE,Nordeste
Itapiúna,CE,Nordeste
Itarema,CE,Nordeste
Itatira,CE,Nordeste
Jaguaretama,CE,Nordeste
Jaguaribara,CE,Nordeste
Jaguaribe,CE,Nordeste
Jaguaruana,CE,Nordeste
Jardim,CE,Nordeste
Jati,CE,Nordeste
Jijoca de Jericoacoara,CE,Nordeste
Juazeiro do Norte,CE,Nordeste
Jucás,CE,Nordeste
Lavras da Mangabeira,CE,Nordeste
Limoeiro do Norte,CE,Nordeste
Madalena,CE,Nordeste
Maracanaú,CE,Nordeste
Maranguape,CE,Nordeste
Marco,CE,Nordeste
Martinópole,CE,Nordeste
Massapê,CE,Nordeste
Mauriti,CE,Nordeste
Meruoca,CE,Nordeste
Milagres,CE,Nordeste
Milhã,CE,Nordeste
Miraíma,CE,Nordeste
Missão Velha,CE,Nordeste
Mombaça,CE,Nordeste
Monsenhor Tabosa,CE,Nordeste
Morada Nova,CE,Nordeste
Moraújo,CE,Nordeste
Morrinhos,CE,Nordeste
Mucambo,CE,Nordeste
Mulungu,CE,Nordeste
Nova Olinda,CE,Nordeste
Nova Russas,CE,Nordeste
Novo Oriente,CE,Nordeste
Ocara,CE,Nordeste
Orós,CE,Nordeste
Pacajus,CE,Nordeste
Pacatuba,CE,Nordeste
Pacoti,CE,Nordeste
Pacujá,CE,Nordeste
Palhano,CE,Nordeste
Palmácia,CE,Nordeste
Paracuru,CE,Nordeste
Paraipaba,CE,Nordeste
Parambu,CE,Nordeste
Paramoti,CE,Nordeste
Pedra Branca,CE,Nordeste
Penaforte,CE,Nordeste
Pentecoste,CE,Nordeste
Pereiro,CE,Nordeste
Pindoretama,CE,Nordeste
Piquet Carneiro,CE,Nordeste
Pires Ferreira,CE,Nordeste
Poranga,CE,Nordeste
Porteiras,CE,Nordeste
Potengi,CE,Nordeste
Potiretama,CE,Nordeste
Quiterianópolis,CE,Nordeste
Quixadá,CE,Nordeste
Quixelô,CE,Nordeste
Quixeramobim,CE,Nordeste
Quixeré,CE,Nordeste
Redenção,CE,Nordeste
Reriutaba,CE,Nordeste
Russas,CE,Nordeste
Saboeiro,CE,Nordeste
Salitre,CE,Nordeste
Santa Quitéria,CE,Nordeste
Santana do Acaraú,CE,Nordeste
Santana do Cariri,CE,Nordeste
São Benedito,CE,Nordeste
São Gonçalo do Amarante,CE,Nordeste
São João do Jaguaribe,CE,Nordeste
São Luís do Curu,CE,Nordeste
Senador Pompeu,CE,Nordeste
Senador Sá,CE,Nordeste
Sobral,CE,Nordeste
Solonópole,CE,Nordeste
Tabuleiro do Norte,CE,Nordeste
Tamboril,CE,Nordeste
Tarrafas,CE,Nordeste
Tauá,CE,Nordeste
Tejuçuoca,CE,Nordeste
Tianguá,CE,Nordeste
Trairi,CE,Nordeste
Tururu,CE,Nordeste
Ubajara,CE,Nordeste
Umari,CE,Nordeste
Umirim,CE,Nordeste
Uruburetama,CE,Nordeste
Uruoca,CE,Nordeste
Varjota,CE,Nordeste
Várzea Alegre,CE,Nordeste
Viçosa do Ceará,CE,Nordeste
Acari,RN,Nordeste
Açu,RN,Nordeste
Afonso Bezerra,RN,Nordeste
Água Nova,RN,Nordeste
Alexandria,RN,Nordeste
Almino Afonso,RN,Nordeste
Alto do Rodrigues,RN,Nordeste
Angicos,RN,Nordeste
Antônio Martins,RN,Nordeste
Apodi,RN,Nordeste
Areia Branca,RN,Nordeste
Arês,RN,Nordeste
Baía Formosa,RN,Nordeste
Baraúna,RN,Nordeste
Barcelona,RN,Nordeste
Bento Fernandes,RN,Nordeste
Bodó,RN,Nordeste
Bom Jesus,RN,Nordeste
Brejinho,RN,Nordeste
Caiçara do Norte,RN,Nordeste
Caiçara do Rio do Vento,RN,Nordeste
Caicó,RN,Nordeste
Campo Grande,RN,Nordeste
Campo Redondo,RN,Nordeste
Canguaretama,RN,Nordeste
Caraúbas,RN,Nordeste
Carnaúba dos Dantas,RN,Nordeste
Carnaubais,RN,Nordeste
Ceará-Mirim,RN,Nordeste
Cerro Corá,RN,Nordeste
Coronel Ezequiel,RN,Nordeste
Coronel João Pessoa,RN,Nordeste
Cruzeta,RN,Nordeste
Currais Novos,RN,Nordeste
Doutor Severiano,RN,Nordeste
Encanto,RN,Nordeste
Equador,RN,Nordeste
Espírito Santo,RN,Nordeste
Extremoz,RN,Nordeste
Felipe Guerra,RN,Nordeste
Fernando Pedroza,RN,Nordeste
Florânia,RN,Nordeste
Francisco Dantas,RN,Nordeste
Frutuoso Gomes,RN,Nordeste
Galinhos,RN,Nordeste
Goianinha,RN,Nordeste
Governador Dix-Sept Rosado,RN,Nordeste
Grossos,RN,Nordeste
Guamaré,RN,Nordeste
Ielmo Marinho,RN,Nordeste
Ipanguaçu,RN,Nordeste
Ipueira,RN,Nordeste
Itajá,RN,Nordeste
Itaú,RN,Nordeste
Jaçanã,RN,Nordeste
Jandaíra,RN,Nordeste
Janduís,RN,Nordeste
Januário Cicco,RN,Nordeste
Japi,RN,Nordeste
Jardim de Angicos,RN,Nordeste
Jardim de Piranhas,RN,Nordeste
Jardim do Seridó,RN,Nordeste
João Câmara,RN,Nordeste
João Dias,RN,Nordeste
José da Penha,RN,Nordeste
Jucurutu,RN,Nordeste
Jundiá,RN,Nordeste
Lagoa d'Anta,RN,Nordeste
Lagoa de Pedras,RN,Nordeste
Lagoa de Velhos,RN,Nordeste
Lagoa Nova,RN,Nordeste
Lagoa Salgada,RN,Nordeste
Lajes,RN,Nordeste
Lajes Pintadas,RN,Nordeste
Lucrécia,RN,Nordeste
Luís Gomes,RN,Nordeste
Macaíba,RN,Nordeste
Macau,RN,Nordeste
Major Sales,RN,Nordeste
Marcelino Vieira,RN,Nordeste
Martins,RN,Nordeste
Maxaranguape,RN,Nordeste
Messias Targino,RN,Nordeste
Montanhas,RN,Nordeste
Monte Alegre,RN,Nordeste
Monte das Gameleiras,RN,Nordeste
Mossoró,RN,Nordeste
Natal,RN,Nordeste
Nísia Floresta,RN,Nordeste
Nova Cruz,RN,Nordeste
Olho d'Água do Borges,RN,Nordeste
Ouro Branco,RN,Nordeste
Paraná,RN,Nordeste
Paraú,RN,Nordeste
Parazinho,RN,Nordeste
Parelhas,RN,Nordeste
Parnamirim,RN,Nordeste
Passa e Fica,RN,Nordeste
Passagem,RN,Nordeste
Patu,RN,Nordeste
Pau dos Ferros,RN,Nordeste
Pedra Grande,RN,Nordeste
Pedra Preta,RN,Nordeste
Pedro Avelino,RN,Nordeste
Pedro Velho,RN,Nordeste
Pendências,RN,Nordeste
Pilões,RN,Nordeste
Poço Branco,RN,Nordeste
Portalegre,RN,Nordeste
Porto do Mangue,RN,Nordeste
Pureza,RN,Nordeste
Rafael Fernandes,RN,Nordeste
Rafael Godeiro,RN,Nordeste
Riacho da Cruz,RN,Nordeste
Riacho de Santana,RN,Nordeste
Riachuelo,RN,Nordeste
Rio do Fogo,RN,Nordeste
Rodolfo Fernandes,RN,Nordeste
Ruy Barbosa,RN,Nordeste
Santa Cruz,RN,Nordeste
Santa Maria,RN,Nordeste
Santana do Matos,RN,Nordeste
Santana do Seridó,RN,Nordeste
Santo Antônio,RN,Nordeste
São Bento do Norte,RN,Nordeste
São Bento do Trairí,RN,Nordeste
São Fernando,RN,Nordeste
São Francisco do Oeste,RN,Nordeste
São Gonçalo do Amarante,RN,Nordeste
São João do Sabugi,RN,Nordeste
São José de Mipibu,RN,Nordeste
São José do Campestre,RN,Nordeste
São José do Seridó,RN,Nordeste
São Miguel,RN,Nordeste
São Miguel do Gostoso,RN,Nordeste
São Paulo do Potengi,RN,Nordeste
São Pedro,RN,Nordeste
São Rafael,RN,Nordeste
São Tomé,RN,Nordeste
São Vicente,RN,Nordeste
Senador Elói de Souza,RN,Nordeste
Senador Georgino Avelino,RN,Nordeste
Serra Caiada,RN,Nordeste
Serra de São Bento,RN,Nordeste
Serra do Mel,RN,Nordeste
Serra Negra do Norte,RN,Nordeste
Serrinha,RN,Nordeste
Serrinha dos Pintos,RN,Nordeste
Severiano Melo,RN,Nordeste
Sítio Novo,RN,Nordeste
Taboleiro Grande,RN,Nordeste
Taipu,RN,Nordeste
Tangará,RN,Nordeste
Tenente Ananias,RN,Nordeste
Tenente Laurentino Cruz,RN,Nordeste
Tibau,RN,Nordeste
Tibau do Sul,RN,Nordeste
Timbaúba dos Batistas,RN,Nordeste
Touros,RN,Nordeste
Triunfo Potiguar,RN,Nordeste
Umarizal,RN,Nordeste
Upanema,RN,Nordeste
Várzea,RN,Nordeste
Venha-Ver,RN,Nordeste
Vera Cruz,RN,Nordeste
Viçosa,RN,Nordeste
Vila Flor,RN,Nordeste
Água Branca,PB,Nordeste
Aguiar,PB,Nordeste
Alagoa Grande,PB,Nordeste
Alagoa Nova,PB,Nordeste
Alagoinha,PB,Nordeste
Alcantil,PB,Nordeste
Algodão de Jandaíra,PB,Nordeste
Alhandra,PB,Nordeste
Amparo,PB,Nordeste
Aparecida,PB,Nordeste
Araçagi,PB,Nordeste
Arara,PB,Nordeste
Araruna,PB,Nordeste
Areia,PB,Nordeste
Areia de Baraúnas,PB,Nordeste
Areial,PB,Nordeste
Aroeiras,PB,Nordeste
Assunção,PB,Nordeste
Baía da Traição,PB,Nordeste
Bananeiras,PB,Nordeste
Baraúna,PB,Nordeste
Barra de Santa Rosa,PB,Nordeste
Barra de Santana,PB,Nordeste
Barra de São Miguel,PB,Nordeste
Bayeux,PB,Nordeste
Belém,PB,Nordeste
Belém do Brejo do Cruz,PB,Nordeste
Bernardino Batista,PB,Nordeste
Boa Ventura,PB,Nordeste
Boa Vista,PB,Nordeste
Bom Jesus,PB,Nordeste
Bom Sucesso,PB,Nordeste
Bonito de Santa Fé,PB,Nordeste
Boqueirão,PB,Nordeste
Borborema,PB,Nordeste
Brejo do Cruz,PB,Nordeste
Brejo dos Santos,PB,Nordeste
Caaporã,PB,Nordeste
Cabaceiras,PB,Nordeste
Cabedelo,PB,Nordeste
Cachoeira dos Índios,PB,Nordeste
Cacimba de Areia,PB,Nordeste
Cacimba de Dentro,PB,Nordeste
Cacimbas,PB,Nordeste
Caiçara,PB,Nordeste
Cajazeiras,PB,Nordeste
Cajazeirinhas,PB,Nordeste
Caldas Brandão,PB,Nordeste
Camalaú,PB,Nordeste
Campina Grande,PB,Nordeste
Capim,PB,Nordeste
Caraúbas,PB,Nordeste
Carrapateira,PB,Nordeste
Casserengue,PB,Nordeste
Catingueira,PB,Nordeste
Catolé do Rocha,PB,Nordeste
Caturité,PB,Nordeste
Conceição,PB,Nordeste
Condado,PB,Nordeste
Conde,PB,Nordeste
Congo,PB,Nordeste
Coremas,PB,Nordeste
Coxixola,PB,Nordeste
Cruz do Espírito Santo,PB,Nordeste
Cubati,PB,Nordeste
Cuité,PB,Nordeste
Cuité de Mamanguape,PB,Nordeste
Cuitegi,PB,Nordeste
Curral de Cima,PB,Nordeste
Curral Velho,PB,Nordeste
Damião,PB,Nordeste
Desterro,PB,Nordeste
Diamante,PB,Nordeste
Dona Inês,PB,Nordeste
Duas Estradas,PB,Nordeste
Emas,PB,Nordeste
Esperança,PB,Nordeste
Fagundes,PB,Nordeste
Frei Martinho,PB,Nordeste
Gado Bravo,PB,Nordeste
Guarabira,PB,Nordeste
Gurinhém,PB,Nordeste
Gurjão,PB,Nordeste
Ibiara,PB,Nordeste
Igaracy,PB,Nordeste
Imaculada,PB,Nordeste
Ingá,PB,Nordeste
Itabaiana,PB,Nordeste
Itaporanga,PB,Nordeste
Itapororoca,PB,Nordeste
Itatuba,PB,Nordeste
Jacaraú,PB,Nordeste
Jericó,PB,Nordeste
João Pessoa,PB,Nordeste
Joca Claudino,PB,Nordeste
Juarez Távora,PB,Nordeste
Juazeirinho,PB,Nordeste
Junco do Seridó,PB,Nordeste
Juripiranga,PB,Nordeste
Juru,PB,Nordeste
Lagoa,PB,Nordeste
Lagoa de Dentro,PB,Nordeste
Lagoa Seca,PB,Nordeste
Lastro,PB,Nordeste
Livramento,PB,Nordeste
Logradouro,PB,Nordeste
Lucena,PB,Nordeste
Mãe d'Água,PB,Nordeste
Malta,PB,Nordeste
Mamanguape,PB,Nordeste
Manaíra,PB,Nordeste
Marcação,PB,Nordeste
Mari,PB,Nordeste
Marizópolis,PB,Nordeste
Massaranduba,PB,Nordeste
Mataraca,PB,Nordeste
Matinhas,PB,Nordeste
Mato Grosso,PB,Nordeste
Maturéia,PB,Nordeste
Mogeiro,PB,Nordeste
Montadas,PB,Nordeste
Monte Horebe,PB,Nordeste
Monteiro,PB,Nordeste
Mulungu,PB,Nordeste
Natuba,PB,Nordeste
Nazarezinho,PB,Nordeste
Nova Floresta,PB,Nordeste
Nova Olinda,PB,Nordeste
Nova Palmeira,PB,Nordeste
Olho d'Água,PB,Nordeste
Olivedos,PB,Nordeste
Ouro Velho,PB,Nordeste
Parari,PB,Nordeste
Passagem,PB,Nordeste
Patos,PB,Nordeste
Paulista,PB,Nordeste
Pedra Branca,PB,Nordeste
Pedra Lavrada,PB,Nordeste
Pedras de Fogo,PB,Nordeste
Pedro Régis,PB,Nordeste
Piancó,PB,Nordeste
Picuí,PB,Nordeste
Pilar,PB,Nordeste
Pilões,PB,Nordeste
Pilõezinhos,PB,Nordeste
Pirpirituba,PB,Nordeste
Pitimbu,PB,Nordeste
Pocinhos,PB,Nordeste
Poço Dantas,PB,Nordeste
Poço de José de Moura,PB,Nordeste
Pombal,PB,Nordeste
Prata,PB,Nordeste
Princesa Isabel,PB,Nordeste
Puxinanã,PB,Nordeste
Queimadas,PB,Nordeste
Quixaba,PB,Nordeste
Remígio,PB,Nordeste
Riachão,PB,Nordeste
Riachão do Bacamarte,PB,Nordeste
Riachão do Poço,PB,Nordeste
Riacho de Santo Antônio,PB,Nordeste
Riacho dos Cavalos,PB,Nordeste
Rio Tinto,PB,Nordeste
Salgadinho,PB,Nordeste
Salgado de São Félix,PB,Nordeste
Santa Cecília,PB,Nordeste
Santa Cruz,PB,Nordeste
Santa Helena,PB,Nordeste
Santa Inês,PB,Nordeste
Santa Luzia,PB,Nordeste
Santa Rita,PB,Nordeste
Santa Teresinha,PB,Nordeste
Santana de Mangueira,PB,Nordeste
Santana dos Garrotes,PB,Nordeste
Santo André,PB,Nordeste
São Bentinho,PB,Nordeste
São Bento,PB,Nordeste
São Domingos,PB,Nordeste
São Domingos do Cariri,PB,Nordeste
São Francisco,PB,Nordeste
São João do Cariri,PB,Nordeste
São João do Rio do Peixe,PB,Nordeste
São João do Tigre,PB,Nordeste
São José da Lagoa Tapada,PB,Nordeste
São José de Caiana,PB,Nordeste
São José de Espinharas,PB,Nordeste
São José de Piranhas,PB,Nordeste
São José de Princesa,PB,Nordeste
São José do Bonfim,PB,Nordeste
São José do Brejo do Cruz,PB,Nordeste
São José do Sabugi,PB,Nordeste
São José dos Cordeiros,PB,Nordeste
São José dos Ramos,PB,Nordeste
São Mamede,PB,Nordeste
São Miguel de Taipu,PB,Nordeste
São Sebastião de Lagoa de Roça,PB,Nordeste
São Sebastião do Umbuzeiro,PB,Nordeste
São Vicente do Seridó,PB,Nordeste
Sapé,PB,Nordeste
Serra Branca,PB,Nordeste
Serra da Raiz,PB,Nordeste
Serra Grande,PB,Nordeste
Serra Redonda,PB,Nordeste
Serraria,PB,Nordeste
Sertãozinho,PB,Nordeste
Sobrado,PB,Nordeste
Solânea,PB,Nordeste
Soledade,PB,Nordeste
Sossêgo,PB,Nordeste
Sousa,PB,Nordeste
Sumé,PB,Nordeste
Tacima,PB,Nordeste
Taperoá,PB,Nordeste
Tavares,PB,Nordeste
Teixeira,PB,Nordeste
Tenório,PB,Nordeste
Triunfo,PB,Nordeste
Uiraúna,PB,Nordeste
Umbuzeiro,PB,Nordeste
Várzea,PB,Nordeste
Vieirópolis,PB,Nordeste
Vista Serrana,PB,Nordeste
Zabelê,PB,Nordeste
Abreu e Lima,PE,Nordeste
Afogados da Ingazeira,PE,Nordeste
Afrânio,PE,Nordeste
Agrestina,PE,Nordeste
Água Preta,PE,Nordeste
Águas Belas,PE,Nordeste
Alagoinha,PE,Nordeste
Aliança,PE,Nordeste
Altinho,PE,Nordeste
Amaraji,PE,Nordeste
Angelim,PE,Nordeste
Araçoiaba,PE,Nordeste
Araripina,PE,Nordeste
Arcoverde,PE,Nordeste
Barra de Guabiraba,PE,Nordeste
Barreiros,PE,Nordeste
Belém de Maria,PE,Nordeste
Belém do São Francisco,PE,Nordeste
Belo Jardim,PE,Nordeste
Betânia,PE,Nordeste
Bezerros,PE,Nordeste
Bodocó,PE,Nordeste
Bom Conselho,PE,Nordeste
Bom Jardim,PE,Nordeste
Bonito,PE,Nordeste
Brejão,PE,Nordeste
Brejinho,PE,Nordeste
Brejo da Madre de Deus,PE,Nordeste
Buenos Aires,PE,Nordeste
Buíque,PE,Nordeste
Cabo de Santo Agostinho,PE,Nordeste
Cabrobó,PE,Nordeste
Cachoeirinha,PE,Nordeste
Caetés,PE,Nordeste
Calçado,PE,Nordeste
Calumbi,PE,Nordeste
Camaragibe,PE,Nordeste
Camocim de São Félix,PE,Nordeste
Camutanga,PE,Nordeste
Canhotinho,PE,Nordeste
Capoeiras,PE,Nordeste
Carnaíba,PE,Nordeste
Carnaubeira da Penha,PE,Nordeste
Carpina,PE,Nordeste
Caruaru,PE,Nordeste
Casinhas,PE,Nordeste
Catende,PE,Nordeste
Cedro,PE,Nordeste
Chã de Alegria,PE,Nordeste
Chã Grande,PE,Nordeste
Condado,PE,Nordeste
Correntes,PE,Nordeste
Cortês,PE,Nordeste
Cumaru,PE,Nordeste
Cupira,PE,Nordeste
Custódia,PE,Nordeste
Dormentes,PE,Nordeste
Escada,PE,Nordeste
Exu,PE,Nordeste
Feira Nova,PE,Nordeste
Fernando de Noronha,PE,Nordeste
Ferreiros,PE,Nordeste
Flores,PE,Nordeste
Floresta,PE,Nordeste
Frei Miguelinho,PE,Nordeste
Gameleira,PE,Nordeste
Garanhuns,PE,Nordeste
Glória do Goitá,PE,Nordeste
Goiana,PE,Nordeste
Granito,PE,Nordeste
Gravatá,PE,Nordeste
Iati,PE,Nordeste
Ibimirim,PE,Nordeste
Ibirajuba,PE,Nordeste
Igarassu,PE,Nordeste
Iguaracy,PE,Nordeste
Ilha de Itamaracá,PE,Nordeste
Inajá,PE,Nordeste
Ingazeira,PE,Nordeste
Ipojuca,PE,Nordeste
Ipubi,PE,Nordeste
Itacuruba,PE,Nordeste
Itaíba,PE,Nordeste
Itambé,PE,Nordeste
Itapetim,PE,Nordeste
Itapissuma,PE,Nordeste
Itaquitinga,PE,Nordeste
Jaboatão dos Guararapes,PE,Nordeste
Jaqueira,PE,Nordeste
Jataúba,PE,Nordeste
Jatobá,PE,Nordeste
João Alfredo,PE,Nordeste
Joaquim Nabuco,PE,Nordeste
Jucati,PE,Nordeste
Jupi,PE,Nordeste
Jurema,PE,Nordeste
Lagoa de Itaenga,PE,Nordeste
Lagoa do Carro,PE,Nordeste
Lagoa do Ouro,PE,Nordeste
Lagoa dos Gatos,PE,Nordeste
Lagoa Grande,PE,Nordeste
Lajedo,PE,Nordeste
Limoeiro,PE,Nordeste
Macaparana,PE,Nordeste
Machados,PE,Nordeste
Manari,PE,Nordeste
Maraial,PE,Nordeste
Mirandiba,PE,Nordeste
Moreilândia,PE,Nordeste
Moreno,PE,Nordeste
Nazaré da Mata,PE,Nordeste
Olinda,PE,Nordeste
Orobó,PE,Nordeste
Orocó,PE,Nordeste
Ouricuri,PE,Nordeste
Palmares,PE,Nordeste
Palmeirina,PE,Nordeste
Panelas,PE,Nordeste
Paranatama,PE,Nordeste
Parnamirim,PE,Nordeste
Passira,PE,Nordeste
Paudalho,PE,Nordeste
Paulista,PE,Nordeste
Pedra,PE,Nordeste
Pesqueira,PE,Nordeste
Petrolândia,PE,Nordeste
Petrolina,PE,Nordeste
Poção,PE,Nordeste
Pombos,PE,Nordeste
Primavera,PE,Nordeste
Quipapá,PE,Nordeste
Quixaba,PE,Nordeste
Recife,PE,Nordeste
Riacho das Almas,PE,Nordeste
Ribeirão,PE,Nordeste
Rio Formoso,PE,Nordeste
Sairé,PE,Nordeste
Salgadinho,PE,Nordeste
Salgueiro,PE,Nordeste
Saloá,PE,Nordeste
Sanharó,PE,Nordeste
Santa Cruz,PE,Nordeste
Santa Cruz da Baixa Verde,PE,Nordeste
Santa Cruz do Capibaribe,PE,Nordeste
Santa Filomena,PE,Nordeste
Santa Maria da Boa Vista,PE,Nordeste
Santa Maria do Cambucá,PE,Nordeste
Santa Terezinha,PE,Nordeste
São Benedito do Sul,PE,Nordeste
São Bento do Una,PE,Nordeste
São Caitano,PE,Nordeste
São João,PE,Nordeste
São Joaquim do Monte,PE,Nordeste
São José da Coroa Grande,PE,Nordeste
São José do Belmonte,PE,Nordeste
São José do Egito,PE,Nordeste
São Lourenço da Mata,PE,Nordeste
São Vicente Férrer,PE,Nordeste
Serra Talhada,PE,Nordeste
Serrita,PE,Nordeste
Sertânia,PE,Nordeste
Sirinhaém,PE,Nordeste
Solidão,PE,Nordeste
Surubim,PE,Nordeste
Tabira,PE,Nordeste
Tacaimbó,PE,Nordeste
Tacaratu,PE,Nordeste
Tamandaré,PE,Nordeste
Taquaritinga do Norte,PE,Nordeste
Terezinha,PE,Nordeste
Terra Nova,PE,Nordeste
Timbaúba,PE,Nordeste
Toritama,PE,Nordeste
Tracunhaém,PE,Nordeste
Trindade,PE,Nordeste
Triunfo,PE,Nordeste
Tupanatinga,PE,Nordeste
Tuparetama,PE,Nordeste
Venturosa,PE,Nordeste
Verdejante,PE,Nordeste
Vertente do Lério,PE,Nordeste
Vertentes,PE,Nordeste
Vicência,PE,Nordeste
Vitória de Santo Antão,PE,Nordeste
Xexéu,PE,Nordeste
Água Branca,AL,Nordeste
Anadia,AL,Nordeste
Arapiraca,AL,Nordeste
Atalaia,AL,Nordeste
Barra de Santo Antônio,AL,Nordeste
Barra de São Miguel,AL,Nordeste
Batalha,AL,Nordeste
Belém,AL,Nordeste
Belo Monte,AL,Nordeste
Boca da Mata,AL,Nordeste
Branquinha,AL,Nordeste
Cacimbinhas,AL,Nordeste
Cajueiro,AL,Nordeste
Campestre,AL,Nordeste
Campo Alegre,AL,Nordeste
Campo Grande,AL,Nordeste
Canapi,AL,Nordeste
Capela,AL,Nordeste
Carneiros,AL,Nordeste
Chã Preta,AL,Nordeste
Coité do Nóia,AL,Nordeste
Colônia Leopoldina,AL,Nordeste
Coqueiro Seco,AL,Nordeste
Coruripe,AL,Nordeste
Craíbas,AL,Nordeste
Delmiro Gouveia,AL,Nordeste
Dois Riachos,AL,Nordeste
Estrela de Alagoas,AL,Nordeste
Feira Grande,AL,Nordeste
Feliz Deserto,AL,Nordeste
Flexeiras,AL,Nordeste
Girau do Ponciano,AL,Nordeste
Ibateguara,AL,Nordeste
Igaci,AL,Nordeste
Igreja Nova,AL,Nordeste
Inhapi,AL,Nordeste
Jacaré dos Homens,AL,Nordeste
Jacuípe,AL,Nordeste
Japaratinga,AL,Nordeste
Jaramataia,AL,Nordeste
Jequiá da Praia,AL,Nordeste
Joaquim Gomes,AL,Nordeste
Jundiá,AL,Nordeste
Junqueiro,AL,Nordeste
Lagoa da Canoa,AL,Nordeste
Limoeiro de Anadia,AL,Nordeste
Maceió,AL,Nordeste
Major Isidoro,AL,Nordeste
Mar Vermelho,AL,Nordeste
Maragogi,AL,Nordeste
Maravilha,AL,Nordeste
Marechal Deodoro,AL,Nordeste
Maribondo,AL,Nordeste
Mata Grande,AL,Nordeste
Matriz de Camaragibe,AL,Nordeste
Messias,AL,Nordeste
Minador do Negrão,AL,Nordeste
Monteirópolis,AL,Nordeste
Murici,AL,Nordeste
Novo Lino,AL,Nordeste
